# R61 Track 1 zoo-density sweep
# columns: eps_nu, s_nu, triplet_count (33.6 ratio, paired fermion modes)
1.0000	0.005000	16
1.0000	0.005808	17
1.0000	0.006746	12
1.0000	0.007837	12
1.0000	0.009103	10
1.0000	0.010574	13
1.0000	0.012282	9
1.0000	0.014267	17
1.0000	0.016572	19
1.0000	0.019250	18
1.0000	0.022361	10
1.0000	0.025974	11
1.0000	0.030171	8
1.0000	0.035046	12
1.0000	0.040709	5
1.0000	0.047287	7
1.0000	0.054928	5
1.0000	0.063804	1
1.0000	0.074113	2
1.0000	0.086089	0
1.0000	0.100000	0
1.5000	0.005000	5
1.5000	0.005808	7
1.5000	0.006746	6
1.5000	0.007837	8
1.5000	0.009103	6
1.5000	0.010574	7
1.5000	0.012282	7
1.5000	0.014267	12
1.5000	0.016572	10
1.5000	0.019250	10
1.5000	0.022361	10
1.5000	0.025974	8
1.5000	0.030171	6
1.5000	0.035046	8
1.5000	0.040709	9
1.5000	0.047287	5
1.5000	0.054928	4
1.5000	0.063804	5
1.5000	0.074113	4
1.5000	0.086089	0
1.5000	0.100000	0
2.0000	0.005000	7
2.0000	0.005808	14
2.0000	0.006746	6
2.0000	0.007837	7
2.0000	0.009103	6
2.0000	0.010574	9
2.0000	0.012282	11
2.0000	0.014267	8
2.0000	0.016572	10
2.0000	0.019250	14
2.0000	0.022361	8
2.0000	0.025974	9
2.0000	0.030171	17
2.0000	0.035046	4
2.0000	0.040709	10
2.0000	0.047287	6
2.0000	0.054928	2
2.0000	0.063804	12
2.0000	0.074113	7
2.0000	0.086089	3
2.0000	0.100000	8
2.5000	0.005000	0
2.5000	0.005808	3
2.5000	0.006746	0
2.5000	0.007837	4
2.5000	0.009103	10
2.5000	0.010574	14
2.5000	0.012282	10
2.5000	0.014267	12
2.5000	0.016572	16
2.5000	0.019250	15
2.5000	0.022361	8
2.5000	0.025974	4
2.5000	0.030171	3
2.5000	0.035046	2
2.5000	0.040709	4
2.5000	0.047287	3
2.5000	0.054928	5
2.5000	0.063804	9
2.5000	0.074113	6
2.5000	0.086089	5
2.5000	0.100000	4
3.0000	0.005000	0
3.0000	0.005808	2
3.0000	0.006746	0
3.0000	0.007837	1
3.0000	0.009103	3
3.0000	0.010574	4
3.0000	0.012282	7
3.0000	0.014267	10
3.0000	0.016572	7
3.0000	0.019250	6
3.0000	0.022361	6
3.0000	0.025974	6
3.0000	0.030171	6
3.0000	0.035046	12
3.0000	0.040709	9
3.0000	0.047287	14
3.0000	0.054928	10
3.0000	0.063804	12
3.0000	0.074113	7
3.0000	0.086089	16
3.0000	0.100000	10
3.5000	0.005000	16
3.5000	0.005808	15
3.5000	0.006746	13
3.5000	0.007837	13
3.5000	0.009103	15
3.5000	0.010574	13
3.5000	0.012282	13
3.5000	0.014267	19
3.5000	0.016572	16
3.5000	0.019250	12
3.5000	0.022361	9
3.5000	0.025974	7
3.5000	0.030171	8
3.5000	0.035046	6
3.5000	0.040709	11
3.5000	0.047287	16
3.5000	0.054928	11
3.5000	0.063804	11
3.5000	0.074113	8
3.5000	0.086089	1
3.5000	0.100000	13
4.0000	0.005000	0
4.0000	0.005808	3
4.0000	0.006746	2
4.0000	0.007837	5
4.0000	0.009103	10
4.0000	0.010574	9
4.0000	0.012282	10
4.0000	0.014267	15
4.0000	0.016572	16
4.0000	0.019250	15
4.0000	0.022361	14
4.0000	0.025974	12
4.0000	0.030171	15
4.0000	0.035046	11
4.0000	0.040709	13
4.0000	0.047287	14
4.0000	0.054928	13
4.0000	0.063804	9
4.0000	0.074113	7
4.0000	0.086089	7
4.0000	0.100000	8
4.5000	0.005000	12
4.5000	0.005808	14
4.5000	0.006746	16
4.5000	0.007837	15
4.5000	0.009103	15
4.5000	0.010574	14
4.5000	0.012282	9
4.5000	0.014267	12
4.5000	0.016572	14
4.5000	0.019250	15
4.5000	0.022361	12
4.5000	0.025974	14
4.5000	0.030171	13
4.5000	0.035046	6
4.5000	0.040709	7
4.5000	0.047287	8
4.5000	0.054928	12
4.5000	0.063804	9
4.5000	0.074113	12
4.5000	0.086089	9
4.5000	0.100000	12
5.0000	0.005000	6
5.0000	0.005808	8
5.0000	0.006746	4
5.0000	0.007837	3
5.0000	0.009103	5
5.0000	0.010574	5
5.0000	0.012282	5
5.0000	0.014267	9
5.0000	0.016572	15
5.0000	0.019250	16
5.0000	0.022361	13
5.0000	0.025974	12
5.0000	0.030171	11
5.0000	0.035046	12
5.0000	0.040709	6
5.0000	0.047287	7
5.0000	0.054928	12
5.0000	0.063804	10
5.0000	0.074113	4
5.0000	0.086089	13
5.0000	0.100000	4
5.5000	0.005000	25
5.5000	0.005808	28
5.5000	0.006746	25
5.5000	0.007837	24
5.5000	0.009103	22
5.5000	0.010574	18
5.5000	0.012282	17
5.5000	0.014267	21
5.5000	0.016572	22
5.5000	0.019250	24
5.5000	0.022361	20
5.5000	0.025974	24
5.5000	0.030171	26
5.5000	0.035046	20
5.5000	0.040709	19
5.5000	0.047287	22
5.5000	0.054928	16
5.5000	0.063804	24
5.5000	0.074113	20
5.5000	0.086089	17
5.5000	0.100000	27
6.0000	0.005000	16
6.0000	0.005808	18
6.0000	0.006746	14
6.0000	0.007837	15
6.0000	0.009103	14
6.0000	0.010574	16
6.0000	0.012282	19
6.0000	0.014267	22
6.0000	0.016572	19
6.0000	0.019250	18
6.0000	0.022361	13
6.0000	0.025974	16
6.0000	0.030171	13
6.0000	0.035046	19
6.0000	0.040709	18
6.0000	0.047287	22
6.0000	0.054928	28
6.0000	0.063804	32
6.0000	0.074113	28
6.0000	0.086089	17
6.0000	0.100000	25
6.5000	0.005000	7
6.5000	0.005808	8
6.5000	0.006746	8
6.5000	0.007837	9
6.5000	0.009103	10
6.5000	0.010574	10
6.5000	0.012282	7
6.5000	0.014267	10
6.5000	0.016572	15
6.5000	0.019250	15
6.5000	0.022361	10
6.5000	0.025974	14
6.5000	0.030171	17
6.5000	0.035046	16
6.5000	0.040709	12
6.5000	0.047287	14
6.5000	0.054928	19
6.5000	0.063804	19
6.5000	0.074113	18
